sword netherite	netherite_sword
sword diamond	diamond_sword
sword iron	iron_sword
sword gold	golden_sword
sword stone	stone_sword
sword wood	wooden_sword
pickaxe netherite	netherite_pickaxe
pickaxe diamond	diamond_pickaxe
pickaxe iron	iron_pickaxe
pickaxe gold	golden_pickaxe
pickaxe stone	stone_pickaxe
pickaxe wood	wooden_pickaxe
axe netherite	netherite_axe
axe diamond	diamond_axe
axe iron	iron_axe
axe gold	golden_axe
axe stone	stone_axe
axe wood	wooden_axe
shovel netherite	netherite_shovel
shovel diamond	diamond_shovel
shovel iron	iron_shovel
shovel gold	golden_shovel
shovel stone	stone_shovel
shovel wood	wooden_shovel
hoe netherite	netherite_hoe
hoe diamond	diamond_hoe
hoe iron	iron_hoe
hoe gold	golden_hoe
hoe stone	stone_hoe
hoe wood	wooden_hoe
trident prismarine	trident
